epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,395.864,2.0956,3.21235,1.73387,0.58937,0.13032,0.21265,0.08338,1.95824,3.13102,1.61364,0.00047157,0.00047157,0.00047157
2,799.283,1.95697,2.47904,1.65277,0.64878,0.33188,0.33357,0.12584,1.99527,2.43189,1.62642,0.000854061,0.000854061,0.000854061
3,1149.27,1.9384,2.28593,1.62248,0.35726,0.30438,0.21517,0.07813,2.03144,2.55773,1.72069,0.00114224,0.00114224,0.00114224
4,1513.03,1.93941,2.14203,1.61533,0.35998,0.343,0.33911,0.13562,1.96138,2.38791,1.56532,0.00100459,0.00100459,0.00100459
5,1937.77,1.8953,1.96487,1.57448,0.6929,0.36631,0.41043,0.1625,1.92916,2.01736,1.57205,0.000863116,0.000863116,0.000863116
6,2293.58,1.87041,1.87485,1.56645,0.41358,0.44906,0.4314,0.18077,1.90578,1.9161,1.60821,0.000721645,0.000721645,0.000721645
7,2671.7,1.83277,1.77813,1.53129,0.38067,0.42496,0.42884,0.17843,1.94018,1.76751,1.54772,0.000580174,0.000580174,0.000580174
8,3075.38,1.80359,1.69633,1.51805,0.45038,0.40601,0.43329,0.17893,1.87459,1.77508,1.52574,0.000438703,0.000438703,0.000438703
9,3489.45,1.77699,1.60753,1.50118,0.4624,0.40246,0.47902,0.20558,1.85632,1.6395,1.50902,0.000297232,0.000297232,0.000297232
10,4951.27,1.75556,1.54363,1.46496,0.50108,0.49622,0.48599,0.20898,1.85618,1.61646,1.50763,0.000155761,0.000155761,0.000155761
