epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,521.622,2.0956,3.21235,1.73387,0.58937,0.13032,0.21265,0.08338,1.95824,3.13103,1.61364,0.00047157,0.00047157,0.00047157
2,1056.73,1.96324,2.48289,1.65425,0.6559,0.32967,0.32533,0.12484,1.99106,2.40911,1.60616,0.000854061,0.000854061,0.000854061
3,1575.72,1.94259,2.31353,1.61749,0.31104,0.36905,0.2986,0.11492,2.05522,2.39832,1.72455,0.00114224,0.00114224,0.00114224
4,2116.37,1.92984,2.19304,1.62491,0.36831,0.34944,0.33825,0.1279,1.97866,2.42451,1.58533,0.00100459,0.00100459,0.00100459
5,2683.86,1.89608,2,1.56976,0.38359,0.34005,0.37616,0.15213,1.95423,2.08589,1.63038,0.000863116,0.000863116,0.000863116
6,3246.92,1.87057,1.92257,1.57676,0.32427,0.43199,0.40506,0.16789,1.93889,1.95235,1.61138,0.000721645,0.000721645,0.000721645
7,3822.13,1.8353,1.7864,1.53959,0.36421,0.36949,0.38826,0.1701,1.92626,1.86826,1.56001,0.000580174,0.000580174,0.000580174
8,4376.8,1.79816,1.70709,1.51998,0.42276,0.42635,0.45649,0.18844,1.89914,1.73667,1.53684,0.000438703,0.000438703,0.000438703
9,4953.26,1.76978,1.61084,1.50059,0.47193,0.38836,0.49017,0.21239,1.8706,1.64137,1.52193,0.000297232,0.000297232,0.000297232
10,5556.78,1.74912,1.55605,1.46563,0.49071,0.48903,0.49718,0.21968,1.8504,1.60919,1.51016,0.000155761,0.000155761,0.000155761
