epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,920.827,2.47429,4.05656,1.7293,0.00425,0.57752,0.01308,0.00407,2.3477,4.72091,1.50462,0.000658228,0.000658228,0.000658228
2,1185.49,2.32438,2.86738,1.6541,0.38845,0.4031,0.31116,0.11033,2.4545,3.29688,1.57379,0.00119373,0.00119373,0.00119373
3,1450.4,2.27539,2.53716,1.64955,0.40522,0.44961,0.3718,0.12333,2.4548,3.15391,1.60339,0.00159723,0.00159723,0.00159723
4,1713.91,2.27869,2.18555,1.62185,0.46907,0.52326,0.38647,0.1336,2.40548,2.35736,1.56979,0.001406,0.001406,0.001406
5,2000.97,2.18041,1.9751,1.59692,0.53364,0.5,0.44467,0.15079,2.48568,2.20533,1.58897,0.001208,0.001208,0.001208
6,2261.79,2.19901,1.85001,1.56918,0.5448,0.60853,0.52039,0.16467,2.32077,2.05184,1.53201,0.00101,0.00101,0.00101
7,2528.69,2.13979,1.71768,1.54805,0.64064,0.56202,0.57673,0.20826,2.40964,1.89461,1.54963,0.000812,0.000812,0.000812
8,2797.56,2.10681,1.6404,1.51941,0.61624,0.62403,0.61914,0.21865,2.3795,1.75695,1.5094,0.000614,0.000614,0.000614
9,3075.94,2.08899,1.5597,1.49093,0.6492,0.60853,0.56699,0.19472,2.33162,1.65595,1.47006,0.000416,0.000416,0.000416
10,3353.21,2.02662,1.52666,1.49113,0.68018,0.64298,0.65147,0.24701,2.31336,1.60688,1.49132,0.000218,0.000218,0.000218
